年/月,1,2,3,4,5,6,7,8,9,10,11,12,平均
1968,--,--,--,--,--,--,--,--,26.4,22.5,20.3,19.2,22.1
1969,18.1,16.2,18.3,22.3,26,26.4,28.6,27.4,26.6,22.3,19.1,16.4,22.3
1970,14.7,16.9,16.6,21,25.5,27.1,28.2,27.6,26.5,24.6,21.1,18.3,22.3
1971,13.5,15.9,18.3,22.7,24.7,27.5,28.4,27.5,26.2,22.8,19.2,17.4,22
1972,16.1,15.5,18.2,21.7,25.6,27.1,27.5,26.7,26.5,24.1,21.5,17.6,22.3
1973,16,19.4,20.4,23.6,26.3,27.2,27.5,26.9,26.7,24.1,20.4,15.1,22.8
1974,15.4,15.2,18.5,22.7,25.9,26.7,27.9,27.4,26.4,24.8,21.3,19,22.6
1975,15.8,17.7,19.1,24.1,25.9,26.7,28.1,27.4,27.1,25.6,20.5,14.9,22.7
1976,15,17.9,18.8,22,25.3,27.3,27.7,27.4,26.1,24.2,19.1,17.4,22.3
1977,15.7,14.9,20.3,24.1,26.6,27.2,28.2,28.1,27.2,24.4,19.7,19.2,23
1978,15.6,17.2,19.9,23,25.3,28.1,28.5,27.7,27.3,23.6,20.6,17.9,22.9
1979,17.6,18.5,19.9,22.8,24.5,26.5,28.9,27.5,26.6,22.3,20,17.8,22.7
1980,16.2,15.8,21,22.6,25.5,28.7,29,28,26.6,24.7,21.9,16.8,23.1
1981,15.7,18,21.2,24.2,24.9,27.2,27.9,28.5,26.6,24.3,20.6,16.3,23
1982,15.7,17.1,20.1,21,25.6,27.1,28.3,27.7,26.8,24.6,22.2,17.1,22.8
1983,16.1,16,18.5,24,25.7,28,29.6,28,27.6,25.5,19.6,16,22.9
1984,15,15.6,18.6,21.9,24.7,27.8,28.4,27.5,27,24.4,21.7,17.1,22.5
1985,16.1,17.3,16.9,22,26.6,27,28.2,27.4,26.9,25,21,16.7,22.6
1986,14.6,14.9,18.7,23.8,25.2,27.6,28.7,28.2,26.5,23.9,20.9,17.3,22.5
1987,15.9,17.3,20.9,22.4,25.5,27.5,28.6,28.8,25.9,24.9,21.8,16.3,23
1988,17,16.8,17.5,21.1,26.5,28,28.7,27.3,26.5,24.2,18.6,15.6,22.3
1989,16.8,16.6,17.9,23.2,25.1,27.4,28.4,28.4,26.7,23.8,20.6,16.5,22.6
1990,16.8,18,19,22,25.2,27.3,28.5,28.1,26.9,23.8,21.8,18.2,23
1991,16.8,17.2,21.2,23,26.1,28.4,28.4,28.5,26.8,23.1,20.4,17.8,23.1
1992,15.6,15.9,20.3,22.6,24.5,27.5,28.2,27.8,27,22.6,19.8,18.8,22.6
1993,15.5,18,19.5,22.3,25.8,28,29,28.5,27,23.7,22.1,17.7,23.1
1994,17,18,18,25,26.5,27.8,28.4,27.5,26,23.4,21.6,20.5,23.3
1995,16.3,15.5,18.6,23.4,25.3,28.3,28.1,27.6,27,24.7,19.9,16.1,22.6
1996,16.4,15.8,20.5,19.5,24.5,28.4,28.9,28,27.6,25,22.4,17.4,22.9
1997,16.1,16.3,20.6,23.6,26,27.4,28.2,28.1,26,24.9,21.9,18.9,23.2
1998,17.7,18,20.8,24.9,26.5,27.9,29.2,28.8,26.9,25.2,22.9,19.6,24
1999,17.4,17.7,21.4,23.8,24.6,28.4,28,27.4,27,25,21.5,17.1,23.3
