
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1935","--","--","--","--","--","--","--","--","--","--","--","90","90"
"1936","82","83","86","85","91","88","83","85","86","84","83","91","86"
"1937","89","82","86","89","90","90","82","86","86","83","87","89","87"
"1938","88","85","86","82","88","83","82","87","87","87","95","88","87"
"1939","86","81","86","84","87","87","85","81","91","95","91","84","87"
"1940","83","82","81","83","90","87","83","83","82","87","86","79","84"
"1941","83","84","82","85","86","86","81","78","85","89","86","86","84"
"1942","78","85","83","86","87","85","83","82","85","87","85","80","84"
"1943","79","79","84","84","88","88","86","84","84","81","89","85","84"
"1944","88","84","81","87","88","88","80","83","82","86","87","85","85"
"1945","81","86","84","85","85","88","82","84","87","84","87","80","84"
"1946","84","80","87","82","91","88","85","84","84","88","87","83","85"
"1947","82","83","81","83","88","91","83","85","86","86","91","89","86"
"1948","76","85","81","85","88","86","82","83","86","87","90","92","85"
"1949","83","87","88","91","87","90","83","87","89","91","90","89","88"
"1950","81","86","86","88","89","89","84","87","88","91","88","85","87"
"1951","90","86","88","90","87","90","85","83","90","90","91","87","88"
"1952","84","88","87","87","89","88","86","84","89","91","88","89","88"
"1953","85","87","86","89","89","86","81","84","90","91","91","89","87"
"1954","90","87","86","89","88","86","83","82","87","90","86","90","87"
"1955","85","81","86","86","88","87","82","87","87","84","87","81","85"
"1956","85","87","88","87","91","84","82","85","86","89","89","91","87"
"1957","87","84","87","86","89","88","81","84","85","88","86","91","86"
"1958","84","82","84","86","88","87","85","82","86","90","85","84","85"
"1959","78","86","84","86","89","87","82","84","85","84","87","89","85"
"1960","83","85","86","91","88","87","80","90","89","85","87","83","86"
"1961","80","85","85","85","89","85","83","85","87","82","90","85","85"
"1962","78","82","82","83","89","89","84","83","87","86","87","81","84"
"1963","67","79","81","83","86","86","86","83","88","82","87","83","83"
"1964","85","87","84","88","90","88","80","85","87","92","85","85","86"
"1965","82","87","84","88","86","90","84","84","82","84","89","84","85"
"1966","86","83","86","90","84","90","82","81","82","84","89","91","86"
"1967","86","85","85","88","89","87","83","85","85","85","91","83","86"
"1968","84","89","85","85","89","89","87","84","86","84","84","83","86"
"1969","88","85","85","85","87","89","85","84","90","85","86","85","86"
"1970","85","84","89","84","88","88","82","84","89","93","91","90","87"
"1971","83","89","85","85","87","87","82","83","89","90","85","86","86"
"1972","83","84","75","85","90","87","85","87","84","86","87","83","85"
"1973","85","87","87","87","88","88","85","86","84","88","90","82","86"
"1974","83","84","84","86","87","88","83","82","88","92","91","92","87"
"1975","84","83","85","85","89","87","82","85","84","89","88","86","86"
"1976","86","84","87","87","88","86","84","81","85","87","84","85","85"
"1977","88","82","83","85","87","88","83","85","86","86","86","87","86"
"1978","83","84","89","86","90","85","78","85","86","88","87","84","85"
"1979","84","82","83","84","87","83","81","83","81","75","83","83","82"
"1980","80","88","85","84","89","84","79","83","82","85","85","79","84"
"1981","78","82","82","84","84","88","81","80","86","85","86","80","83"
"1982","78","85","86","80","83","85","83","82","83","82","86","81","83"
"1983","85","87","83","82","85","85","77","79","82","88","75","78","82"
"1984","82","86","89","86","88","87","81","86","87","85","91","87","86"
"1985","87","91","88","84","88","90","84","85","87","88","86","86","87"
"1986","80","87","83","88","89","87","83","83","86","88","92","83","86"
"1987","78","80","87","86","88","87","85","81","82","85","92","86","85"
"1988","88","87","89","82","86","82","79","81","88","87","80","77","84"
"1989","87","86","81","87","90","88","81","80","87","86","82","81","85"
"1990","90","88","83","87","85","84","78","81","85","83","84","83","84"
"1991","87","90","89","84","83","80","75","77","83","87","88","84","84"
"1992","81","86","87","86","85","85","77","85","86","83","81","84","84"
"1993","84","82","87","88","84","81","82","77","78","81","88","86","83"
"1994","85","83","79","83","81","84","79","79","79","77","80","86","81"
"1995","78","82","79","84","84","83","83","83","84","85","82","83","83"
"1996","83","82","85","87","89","82","81","78","79","87","88","76","83"
"1997","78","83","79","79","83","85","80","83","81","84","78","85","82"
"1998","83","85","85","83","86","85","76","80","80","86","87","90","84"
"1999","88","82","85","81","86","87","84","81","82","87","86","85","85"
"2000","85","88","85","84","80","82","77","80","75","85","91","89","83"
"2001","81","84","75","83","88","82","80","81","83","83","77","82","82"
"2002","77","78","76","78","78","83","80","81","79","83","79","82","80"
"2003","75","78","79","86","85","86","77","78","80","77","86","75","80"
"2004","79","80","82","79","81","78","75","75","77","68","77","74","77"
"2005","75","81","78","77","81","78","75","78","79","80","80","77","78"
"2006","81","79","77","81","83","77","74","76","81","77","82","82","79"
"2007","80","74","80","79","80","84","75","81","80","81","83","78","80"
"2008","79","77","72","80","77","78","77","76","78","76","75","71","76"
"2009","69","75","71","73","71","77","77","78","79","80","79","74","75"
"2010","78","80","74","78","79","82","76","77","76","82","83","73","78"
"2011","84","80","79","73","79","80","77","75","76","82","84","84","79"
"2012","83","83","76","77","82","81","80","81","79","76","86","86","81"
"2013","84","85","78","84","87","83","76","80","81","77","83","83","82"
"2014","72","82","80","82","89","85","78","78","79","77","84","77","80"
"2015","75","80","83","80","84","80","78","83","79","82","83","81","81"
"2016","82","77","78","82","82","82","79","77","83","85","82","81","81"
"2017","83","77","79","77","85","87","77","78","78","79","86","82","81"
"2018","81","79","72","74","76","79","75","76","77","77","87","85","78"
"2019","84","85","81","84","84","83","79","81","79","78","80","80","82"
"2020","76","77","79","78","85","79","77","76","76","80","86","88","80"
"2021","81","79","85","84","87","86","82","86","84","90","89","85","85"
"2022","90","92","86","88","94","91","82","81","82","94","96","89","89"
"2023","88","90","85","90","90","88","83","85","89","90","86","89","88"
"2024","82","86","84","91","85","85","79","82","85","88","88","82","85"
"2025","75","85","81","--","--","--","--","--","--","--","--","--","80"
"平均","82","84","83","84","86","85","81","82","84","85","86","84","平均"
