
"年/月","1","2","3","4","5","6","7","8","9","10","11","12","平均"
"1901","75","73","75","78","83","82","80","85","78","79","73","70","78"
"1902","68","65","79","80","82","81","79","77","72","68","75","75","75"
"1903","73","75","78","77","77","81","77","81","80","80","72","68","77"
"1904","74","72","81","79","78","85","82","81","77","74","72","70","77"
"1905","75","76","81","80","83","81","84","80","82","75","68","75","78"
"1906","76","73","70","75","80","77","81","80","86","78","76","79","78"
"1907","73","75","75","78","80","84","79","76","79","82","75","70","77"
"1908","75","75","80","81","81","81","78","81","81","82","76","80","79"
"1909","75","76","76","80","82","81","80","80","78","82","78","71","78"
"1910","73","75","78","83","83","81","80","84","85","78","76","71","79"
"1911","72","69","78","85","85","78","85","85","84","77","74","75","79"
"1912","74","72","73","75","80","83","79","82","80","79","77","78","78"
"1913","75","76","77","78","81","76","82","82","85","75","75","75","78"
"1914","72","80","80","81","82","81","81","83","84","81","80","78","80"
"1915","74","75","77","80","88","85","85","83","80","84","82","77","81"
"1916","79","81","80","81","84","85","78","83","85","83","78","79","81"
"1917","74","74","78","85","85","83","87","82","84","81","76","76","80"
"1918","69","78","79","79","80","75","83","85","80","81","82","80","79"
"1919","76","74","77","83","85","84","82","84","76","83","74","77","80"
"1920","77","78","76","80","85","81","81","80","79","76","76","77","79"
"1921","75","76","79","80","84","85","83","82","81","76","78","78","80"
"1922","75","79","76","79","82","83","80","84","84","79","74","74","79"
"1923","75","80","79","82","79","85","83","83","77","77","72","72","79"
"1924","75","80","78","82","81","84","83","82","82","80","68","75","79"
"1925","80","72","77","78","82","81","82","79","79","70","77","72","77"
"1926","71","75","76","79","82","83","79","81","83","77","73","71","78"
"1927","75","79","76","82","85","84","83","81","79","72","71","72","78"
"1928","76","70","76","76","80","83","79","83","80","70","75","74","77"
"1929","76","74","73","71","80","79","82","81","77","67","72","74","76"
"1930","72","70","72","75","79","79","82","79","78","73","70","75","75"
"1931","74","74","75","79","83","79","77","82","79","73","73","75","77"
"1932","67","71","72","79","81","81","79","81","82","77","75","73","77"
"1933","73","73","74","80","81","81","80","76","77","74","71","70","76"
"1934","70","79","80","80","83","79","81","78","82","74","78","74","78"
"1935","76","78","76","87","88","90","87","86","82","81","75","73","82"
"1936","72","80","78","79","82","82","79","82","79","74","70","78","78"
"1937","78","74","79","80","82","84","79","84","81","74","77","77","79"
"1938","73","75","78","79","80","76","75","82","79","76","74","74","77"
"1939","76","74","79","78","84","81","85","78","78","79","78","67","78"
"1940","74","76","78","78","82","82","81","79","79","79","74","66","77"
"1941","76","77","79","79","80","81","80","76","79","77","78","77","78"
"1942","73","74","73","75","79","82","83","78","80","76","75","74","77"
"1943","69","71","80","77","77","83","83","82","77","75","75","72","77"
"1944","76","73","77","82","81","83","82","82","80","76","80","75","79"
"1945","73","79","75","78","81","84","80","82","83","73","79","72","78"
"1946","73","72","76","73","82","83","82","80","79","75","77","75","77"
"1947","77","71","74","78","84","89","81","82","82","77","80","77","79"
"1948","73","79","76","83","82","81","82","81","83","75","71","83","79"
"1949","76","81","80","82","79","82","80","84","84","82","80","81","81"
"1950","77","82","83","83","82","87","84","86","82","84","80","77","82"
"1951","80","79","79","84","85","88","81","86","82","82","80","78","82"
"1952","79","79","81","82","82","83","86","85","86","80","79","80","82"
"1953","78","79","82","84","85","84","82","83","85","86","83","80","83"
"1954","82","78","78","84","80","81","78","82","84","80","78","77","80"
"1955","77","76","78","78","79","84","78","83","82","75","77","74","78"
"1956","81","79","82","80","83","81","78","80","85","78","73","78","80"
"1957","77","78","79","77","82","85","81","81","81","79","75","78","79"
"1958","77","80","80","77","81","83","82","80","82","78","72","74","79"
"1959","75","80","77","80","84","82","79","82","80","74","77","80","79"
"1960","76","77","81","84","82","85","78","87","84","76","77","73","80"
"1961","73","79","79","83","83","81","85","85","87","77","81","78","81"
"1962","75","78","78","81","82","82","83","79","81","75","76","74","79"
"1963","71","75","78","78","77","81","82","78","80","71","77","74","77"
"1964","78","76","77","78","81","81","77","82","82","83","71","73","78"
"1965","71","75","72","79","78","83","79","76","76","75","79","73","76"
"1966","75","74","76","80","79","83","81","77","76","73","76","78","77"
"1967","74","73","76","79","80","81","78","79","76","75","80","74","77"
"1968","78","79","80","77","81","82","78","81","81","77","74","76","79"
"1969","77","76","78","80","81","84","80","78","82","76","73","71","78"
"1970","75","73","78","76","80","80","78","80","81","81","74","76","78"
"1971","73","79","75","79","80","79","79","76","79","78","74","77","77"
"1972","77","81","73","81","82","84","86","84","78","76","79","75","80"
"1973","76","78","80","80","80","83","82","84","80","78","74","69","79"
"1974","74","78","78","80","81","87","78","81","83","84","78","80","80"
"1975","78","75","79","79","82","83","78","82","81","81","76","75","79"
"1976","77","78","79","80","86","83","82","80","80","77","70","71","79"
"1977","72","68","71","74","80","84","82","82","80","72","75","76","76"
"1978","73","75","81","80","81","81","73","83","80","77","73","72","77"
