Sonde serial number                          	R3030575
Balloon release date and time                	2023-11-13T05:55:07
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C     %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        12 1026.1  16.8  81.0  13.5  23   2.1 291.6 25.627850 122.080100  9.54       0      0
   2    19.3        34 1023.5  16.9  83.8  14.2  59   2.2 291.9 25.233009 121.731695  9.99       4    173
   3     5.7        39 1022.9  16.9  84.7  14.3  73   2.6 291.8 25.053866 121.573616 10.09       7    198
   4     5.9        45 1022.2  16.9  84.6  14.3  76   2.9 291.8 24.994248 121.521003 10.08      10    205
   5     4.8        50 1021.6  16.8  84.0  14.1  77   3.2 291.7 24.989757 121.517032  9.94      13    211
   6     3.5        54 1021.2  16.6  83.6  13.9  76   3.4 291.5 25.000883 121.526838  9.81      16    216
   7     5.4        59 1020.6  16.6  83.7  13.8  76   3.7 291.4 25.010309 121.535139  9.77      20    220
   8     4.7        64 1020.0  16.5  83.7  13.8  76   4.0 291.4 25.014146 121.538500  9.75      24    225
   9     4.7        68 1019.5  16.5  83.6  13.7  76   4.2 291.4 25.014495 121.538775  9.72      28    229
  10     3.4        72 1019.0  16.4  83.5  13.6  76   4.5 291.3 25.014489 121.538734  9.68      31    234
  11     3.7        76 1018.4  16.4  83.3  13.5  77   4.8 291.2 25.014484 121.538686  9.62      36    237
  12     4.6        80 1017.9  16.3  83.5  13.5  77   5.0 291.1 25.014483 121.538626  9.58      41    242
  13     4.6        85 1017.4  16.2  83.8  13.5  77   5.3 291.1 25.014491 121.538555  9.60      47    247
  14     4.6        89 1016.9  16.2  84.0  13.5  77   5.5 291.0 25.014502 121.538478  9.60      54    251
  15     5.7        95 1016.4  16.1  83.9  13.4  77   5.8 291.0 25.014505 121.538405  9.56      61    254
  16     5.0       100 1015.9  16.1  83.9  13.4  77   6.0 290.9 25.014493 121.538340  9.53      67    254
  17     4.3       104 1015.4  16.1  83.9  13.3  78   6.2 290.9 25.014467 121.538282  9.53      74    254
  18     1.7       106 1015.0  16.0  83.9  13.3  78   6.4 290.9 25.014431 121.538223  9.52      81    252
  19     1.7       108 1014.6  16.0  84.1  13.3  78   6.6 290.8 25.014391 121.538156  9.51      89    251
  20     3.1       111 1014.2  15.9  84.5  13.3  78   6.8 290.8 25.014354 121.538078  9.53      97    250
  21     4.0       115 1013.8  15.9  84.8  13.3  78   6.9 290.7 25.014331 121.537992  9.53     106    250
  22     2.7       118 1013.5  15.8  85.0  13.3  78   7.0 290.6 25.014324 121.537906  9.52     115    251
  23     3.7       121 1013.1  15.8  85.1  13.3  78   7.2 290.6 25.014327 121.537830  9.51     122    253
  24     2.8       124 1012.6  15.7  85.2  13.3  78   7.3 290.6 25.014328 121.537761  9.51     129    254
  25     3.7       128 1012.2  15.7  85.2  13.2  78   7.4 290.5 25.014319 121.537694  9.48     135    254
