"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1005.8","1008.0","1007.6","2021/06/01 22:05:00","1004.7","2021/06/01 01:48:00","26.8","30.0","2021/06/01 10:25:00","24.3","2021/06/01 01:22:00","24.8","89","75","2021/06/01 09:55:00","1.8","130","6.7","230","2021/06/01 04:46:00","T","2.6","T","2021/06/01 03:40:00","T","2021/06/01 03:40:00","1.5","11.1","16.41","10.0","-3.2","10","2021/06/01 11:00:00","9.4","27.6","28.0","27.8","27.8","28.0","28.7","29.2"
"02","1006.1","1008.3","1007.6","2021/06/02 21:48:00","1004.3","2021/06/02 15:48:00","28.0","31.5","2021/06/02 13:25:00","24.9","2021/06/02 03:30:00","25.5","87","72","2021/06/02 08:46:00","2.1","140","5.8","140","2021/06/02 13:51:00","0.5","2.3","0.5","2021/06/02 21:16:00","0.5","2021/06/02 20:55:00","6.3","46.7","23.11","13.9","-4.5","14","2021/06/02 12:00:00","8.3","28.8","29.2","28.9","28.9","28.8","29.4","29.0"
"03","1004.5","1006.7","1006.7","2021/06/03 00:01:00","1002.2","2021/06/03 16:26:00","28.7","31.4","2021/06/03 10:12:00","25.7","2021/06/03 05:01:00","25.5","83","65","2021/06/03 09:49:00","4.5","160","14.9","200","2021/06/03 16:17:00","0.0","0.0","0.0","--","0.0","--","10.0","74.1","27.80","16.3","7.1","14","2021/06/03 12:00:00","4.8","29.2","29.8","29.6","29.6","29.6","30.2","29.1"
"04","1001.8","1004.0","1003.4","2021/06/04 00:01:00","1000.4","2021/06/04 15:32:00","29.0","32.4","2021/06/04 12:05:00","26.6","2021/06/04 04:38:00","25.5","82","65","2021/06/04 12:01:00","2.1","340","7.2","170","2021/06/04 16:07:00","0.0","0.0","0.0","--","0.0","--","8.3","61.4","22.12","14.9","-4.9","13","2021/06/04 12:00:00","6.5","29.4","30.0","29.8","30.1","30.1","30.8","29.3"
"05","1001.2","1003.4","1003.7","2021/06/05 22:12:00","998.8","2021/06/05 03:41:00","26.3","28.9","2021/06/05 12:28:00","24.0","2021/06/05 23:46:00","25.1","94","85","2021/06/05 12:49:00","3.1","30","10.5","30","2021/06/05 20:48:00","19.5","10.1","3.5","2021/06/05 19:10:00","8.5","2021/06/05 19:10:00","0.5","3.7","8.26","9.3","-3.5","5","2021/06/05 12:00:00","10.0","27.8","28.7","28.8","29.5","29.9","30.8","29.5"
"06","1004.2","1006.4","1007.4","2021/06/06 21:40:00","1002.1","2021/06/06 03:11:00","24.6","26.1","2021/06/06 11:35:00","23.8","2021/06/06 04:06:00","23.9","96","92","2021/06/06 12:16:00","2.9","40","10.8","30","2021/06/06 18:14:00","17.5","15.5","1.0","2021/06/06 00:45:00","4.0","2021/06/06 00:45:00","0.0","0.0","5.51","8.0","-1.5","5","2021/06/06 12:00:00","10.0","25.9","26.7","26.8","27.4","28.2","29.4","29.5"
"07","1007.9","1010.1","1010.1","2021/06/07 22:01:00","1005.8","2021/06/07 01:32:00","26.0","29.5","2021/06/07 11:13:00","24.1","2021/06/07 01:40:00","24.4","91","76","2021/06/07 11:14:00","2.1","350","6.0","200","2021/06/07 23:59:59","9.5","6.0","2.5","2021/06/07 21:01:00","6.5","2021/06/07 20:14:00","4.2","31.0","18.08","12.6","-0.8","12","2021/06/07 11:00:00","9.6","26.7","27.2","27.2","27.4","27.8","28.6","29.1"
"08","1008.9","1011.1","1010.4","2021/06/08 10:56:00","1007.5","2021/06/08 03:03:00","26.7","30.0","2021/06/08 11:59:00","24.5","2021/06/08 05:31:00","24.3","87","75","2021/06/08 14:24:00","2.7","190","8.8","180","2021/06/08 15:42:00","T","0.6","T","2021/06/08 05:01:00","T","2021/06/08 04:55:00","3.9","28.8","20.45","13.3","4.9","14","2021/06/08 12:00:00","8.0","27.4","27.8","27.8","28.0","28.2","28.8","28.8"
"09","1007.5","1009.7","1009.1","2021/06/09 00:01:00","1005.5","2021/06/09 16:38:00","27.3","31.2","2021/06/09 11:24:00","24.3","2021/06/09 04:22:00","23.8","81","64","2021/06/09 08:57:00","2.7","230","7.1","130","2021/06/09 13:17:00","0.0","0.0","0.0","--","0.0","--","7.3","53.9","22.49","15.6","5.0","15","2021/06/09 12:00:00","6.6","27.5","28.1","28.0","28.4","28.6","29.3","28.8"
"10","1006.3","1008.5","1008.0","2021/06/10 23:09:00","1004.8","2021/06/10 15:54:00","27.1","30.8","2021/06/10 12:59:00","24.3","2021/06/10 04:52:00","24.6","86","75","2021/06/10 13:01:00","2.7","150","8.7","160","2021/06/10 12:18:00","6.0","1.2","2.5","2021/06/10 19:20:00","6.0","2021/06/10 18:51:00","8.8","65.0","23.57","14.9","-4.9","14","2021/06/10 13:00:00","6.0","27.9","28.2","28.2","28.7","28.9","29.7","28.9"
"11","1006.9","1009.1","1009.4","2021/06/11 21:34:00","1005.2","2021/06/11 02:29:00","27.9","31.0","2021/06/11 13:59:00","24.7","2021/06/11 04:57:00","25.2","86","77","2021/06/11 08:38:00","4.1","170","10.7","170","2021/06/11 12:28:00","0.0","0.0","0.0","--","0.0","--","8.5","62.7","24.99","18.4","5.6","14","2021/06/11 12:00:00","4.8","28.3","28.6","28.5","28.9","29.1","30.1","29.0"
"12","1008.7","1010.9","1010.3","2021/06/12 22:43:00","1007.5","2021/06/12 17:07:00","28.1","30.5","2021/06/12 13:41:00","25.6","2021/06/12 05:12:00","25.3","85","75","2021/06/12 12:30:00","3.5","170","12.6","180","2021/06/12 12:43:00","T","0.8","T","2021/06/12 21:10:00","T","2021/06/12 21:10:00","7.8","57.5","23.49","17.5","-5.7","14","2021/06/12 13:00:00","7.4","28.4","28.8","28.8","29.2","29.4","30.4","29.1"
"13","1007.7","1009.9","1010.2","2021/06/13 00:07:00","1005.6","2021/06/13 17:09:00","28.6","31.4","2021/06/13 13:03:00","26.3","2021/06/13 04:26:00","25.5","84","75","2021/06/13 10:19:00","2.4","230","7.7","170","2021/06/13 14:38:00","0.0","0.0","0.0","--","0.0","--","8.7","64.2","24.49","14.9","6.1","14","2021/06/13 13:00:00","7.4","29.1","29.5","29.5","29.8","29.8","30.7","29.3"
"14","1003.6","1005.8","1006.2","2021/06/14 00:01:00","1001.7","2021/06/14 16:50:00","28.6","32.0","2021/06/14 12:28:00","25.1","2021/06/14 04:41:00","24.7","80","67","2021/06/14 08:47:00","2.7","230","7.4","240","2021/06/14 00:48:00","0.0","0.0","0.0","--","0.0","--","9.1","67.1","23.06","15.6","5.2","13","2021/06/14 12:00:00","4.1","28.9","29.7","29.7","30.2","30.3","31.1","29.5"
"15","1001.2","1003.4","1002.3","2021/06/15 21:20:00","1000.0","2021/06/15 04:21:00","29.2","32.8","2021/06/15 15:15:00","25.5","2021/06/15 04:42:00","24.8","77","61","2021/06/15 15:05:00","2.7","240","6.8","100","2021/06/15 13:24:00","0.0","0.0","0.0","--","0.0","--","11.3","83.3","26.93","16.9","6.7","13","2021/06/15 13:00:00","4.1","29.2","30.1","30.1","30.7","30.7","31.4","29.7"
"16","1001.9","1004.1","1003.9","2021/06/16 22:05:00","1000.2","2021/06/16 01:33:00","29.7","33.7","2021/06/16 13:28:00","25.8","2021/06/16 04:59:00","24.4","73","55","2021/06/16 13:31:00","2.9","80","8.0","310","2021/06/16 11:56:00","0.0","0.0","0.0","--","0.0","--","12.0","88.4","27.75","18.5","7.7","13","2021/06/16 12:00:00","1.9","29.8","30.7","30.8","31.4","31.4","31.8","29.9"
"17","1003.3","1005.5","1004.5","2021/06/17 21:58:00","1002.5","2021/06/17 16:12:00","29.8","32.7","2021/06/17 12:19:00","26.3","2021/06/17 03:50:00","24.9","75","60","2021/06/17 08:06:00","2.7","240","6.7","240","2021/06/17 01:21:00","0.0","0.0","0.0","--","0.0","--","11.1","81.8","26.89","20.6","6.1","13","2021/06/17 12:00:00","1.5","30.1","31.1","31.2","31.8","31.8","32.4","30.1"
"18","1002.2","1004.4","1003.5","2021/06/18 07:30:00","1000.7","2021/06/18 16:06:00","29.5","32.8","2021/06/18 13:50:00","26.1","2021/06/18 05:30:00","25.3","78","64","2021/06/18 08:15:00","2.4","240","6.4","230","2021/06/18 00:06:00","0.0","0.0","0.0","--","0.0","--","11.9","87.7","27.40","16.9","3.7","13","2021/06/18 13:00:00","4.3","30.5","31.4","31.5","32.1","32.1","32.7","30.4"
"19","1000.3","1002.4","1001.9","2021/06/19 00:01:00","999.4","2021/06/19 15:32:00","29.3","32.9","2021/06/19 13:39:00","26.2","2021/06/19 04:11:00","25.4","80","62","2021/06/19 10:05:00","2.7","230","6.8","230","2021/06/19 04:01:00","0.0","0.0","0.0","--","0.0","--","9.5","70.0","26.29","16.5","6.0","13","2021/06/19 12:00:00","5.4","30.6","31.5","31.6","32.2","32.3","33.1","30.7"
